薬局等番号,都道府県,薬局等名称,住所,電話番号,販売可能薬剤師数_女性,販売可能薬剤師数_男性,販売可能薬剤師数_答えたくない,HP,開局時間,時間外対応の有無,時間外の電話番号,プライバシー確保策,事前連絡,備考,削除日,開局等時間,時間外対応,事前電話連絡,電話番号_数字,時間外の電話番号_数字,住所_正規化,住所_都道府県除く,市区町村_推定,住所_残り,時間外対応_有無,事前電話連絡_要否,データ時点,データ出典_URL,データファイル_URL
9235,北海道,調剤薬局ツルハドラッグ旭川近文店,北海道旭川市北門町14丁目2144-129,0166747330,0,1,0,,月～金：9：30-13：0014：00-18：30土：9：30-13：30,,,衝立,,,,月～金：9：30-13：0014：00-18：30土：9：30-13：30,,,0166747330,,北海道旭川市北門町14丁目2144-129,旭川市北門町14丁目2144-129,旭川市,北門町14丁目2144-129,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9236,北海道,調剤薬局ツルハドラッグ忠和店,北海道旭川市忠和４条６丁目４番１２号,0166733401,0,1,0,https://shop.tsuruha-g.com/1301,月～金：9：00-18：00、土：9：00-13：00,,,衝立,,,,月～金：9：00-18：00、土：9：00-13：00,,,0166733401,,北海道旭川市忠和4条6丁目4番12号,旭川市忠和4条6丁目4番12号,旭川市,忠和4条6丁目4番12号,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9237,北海道,調剤薬局ツルハドラッグ錦町店,北海道旭川市錦町１５丁目２９０３番２,0166592466,2,2,0,,月～金：9:00～18:00土：9:00～13:00,,,衝立,,,,月～金：9:00～18:00土：9:00～13:00,,,0166592466,,北海道旭川市錦町15丁目2903番2,旭川市錦町15丁目2903番2,旭川市,錦町15丁目2903番2,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9241,北海道,調剤薬局ツルハドラッグ旭川日赤前店,北海道旭川市1条通1丁目3番232,0166217001,1,0,0,https://shop.tsuruha-g.com/0292,月～金：9：00～18：00,,,衝立,,,,月～金：9：00～18：00,,,0166217001,,北海道旭川市1条通1丁目3番232,旭川市1条通1丁目3番232,旭川市,1条通1丁目3番232,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9242,北海道,調剤薬局ツルハドラッグ旭川末広北店,,,0,0,0,,,,,,,,2026/4/6,,,,,,,,,,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9243,北海道,調剤薬局ツルハドラッグ旭川末広北店,北海道旭川市末広１条１０丁目１番２０号,0166583268,2,0,0,,月～金9:00-13:00、14:00-18:00、土9:00-13:00,,,衝立,,,,月～金9:00-13:00、14:00-18:00、土9:00-13:00,,,0166583268,,北海道旭川市末広1条10丁目1番20号,旭川市末広1条10丁目1番20号,旭川市,末広1条10丁目1番20号,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9244,北海道,調剤薬局ツルハドラッグ稚内潮見店,北海道稚内市潮見1丁目27号,0162337268,1,2,0,,月～金：9:00-18:00、土：9:00-13:00,有,080-3266-0868,衝立,,,,月～金：9:00-18:00、土：9:00-13:00,有,,0162337268,08032660868,北海道稚内市潮見1丁目27号,稚内市潮見1丁目27号,稚内市,潮見1丁目27号,True,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9246,北海道,調剤薬局ツルハドラッグ旭川４条西店,北海道旭川市４条通１丁目２２４１番の６,0166733796,1,1,0,https://shop.tsuruha-g.com/1720,月～金：9:00-18:00,,,衝立,要,,,月～金：9:00-18:00,,要,0166733796,,北海道旭川市4条通1丁目2241番の6,旭川市4条通1丁目2241番の6,旭川市,4条通1丁目2241番の6,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9247,北海道,調剤薬局ツルハドラッグ旭川神居東店,北海道旭川市神居３条１８丁目２番５号,0166737167,0,1,0,,月～金：9:00-13:0014:00-18:00土：9:00-13:00,,,衝立,,,,月～金：9:00-13:0014:00-18:00土：9:00-13:00,,,0166737167,,北海道旭川市神居3条18丁目2番5号,旭川市神居3条18丁目2番5号,旭川市,神居3条18丁目2番5号,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9249,北海道,調剤薬局ツルハドラッグ豊岡１２条店,北海道旭川市豊岡12条4丁目5番6,0166378332,1,2,0,,月～土：9:00-18:00,,,衝立,,,,月～土：9:00-18:00,,,0166378332,,北海道旭川市豊岡12条4丁目5番6,旭川市豊岡12条4丁目5番6,旭川市,豊岡12条4丁目5番6,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9253,北海道,クリオネ港町薬局,北海道函館市港町1丁目11-16,0138438123,3,3,0,,月～金：9:00-18:00、土：9:00-13:00,有,0138-43-8123,衝立,,,,月～金：9:00-18:00、土：9:00-13:00,有,,0138438123,0138438123,北海道函館市港町1丁目11-16,函館市港町1丁目11-16,函館市,港町1丁目11-16,True,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9917,北海道,調剤薬局クスリのツルハ旭川６条店,北海道旭川市6条通7丁目31-1アクアビル1F,0166293362,0,1,0,,月～水、金：9:00～14:00、15:00～18:00土：9:00～13:00,,,他者のいない時間対応,,,,月～水、金：9:00～14:00、15:00～18:00土：9:00～13:00,,,0166293362,,北海道旭川市6条通7丁目31-1アクアビル1F,旭川市6条通7丁目31-1アクアビル1F,旭川市,6条通7丁目31-1アクアビル1F,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9918,北海道,調剤薬局ツルハドラッグ旭川緑が丘店,,,0,0,0,,,,,,,,2026/9/3,,,,,,,,,,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9919,北海道,調剤薬局ツルハドラッグ神居３条店,北海道旭川市神居３条５丁目１－２,0166625016,3,3,0,,月～金：8:30-18:00、土：8:30-13:00,,,個室,要,,,月～金：8:30-18:00、土：8:30-13:00,,要,0166625016,,北海道旭川市神居3条5丁目1-2,旭川市神居3条5丁目1-2,旭川市,神居3条5丁目1-2,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9920,北海道,調剤薬局ツルハドラッグ北見公園店,北海道北見市公園町139-10,0157696268,3,0,0,,月・木・金9:00～18:00火・水9:00～12:3013:30～18:00土9:00～17:00日9:00～12:30､13:30～16:00,,,衝立,,,,月・木・金9:00～18:00火・水9:00～12:3013:30～18:00土9:00～17:00日9:00～12:30､13:30～16:00,,,0157696268,,北海道北見市公園町139-10,北見市公園町139-10,北見市,公園町139-10,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9921,北海道,調剤薬局ツルハドラッグ広域紋別病院前店,北海道紋別市落石町１丁目３番８８号,0158262180,1,2,0,,月～金：9：00-18：00,有,080-5835-9923,衝立,,,,月～金：9：00-18：00,有,,0158262180,08058359923,北海道紋別市落石町1丁目3番88号,紋別市落石町1丁目3番88号,紋別市,落石町1丁目3番88号,True,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9922,北海道,エースリー調剤薬局神居店,北海道旭川市神居３条９丁目１－３,0166692159,1,1,0,,月火水金:9:00-17:45、木:9:00-18:00、土:9:00-13:00,,,他者のいない時間対応,要,,,月火水金:9:00-17:45、木:9:00-18:00、土:9:00-13:00,,要,0166692159,,北海道旭川市神居3条9丁目1-3,旭川市神居3条9丁目1-3,旭川市,神居3条9丁目1-3,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9923,北海道,調剤薬局ツルハドラッグ永山環状通店,北海道旭川市永山７条５丁目１番１５号,0166738008,1,0,0,,月～金：9:00-13:00/14:00-18:00、土：9:00-13:00/14:00-16:00,,,衝立,要,,,月～金：9:00-13:00/14:00-18:00、土：9:00-13:00/14:00-16:00,,要,0166738008,,北海道旭川市永山7条5丁目1番15号,旭川市永山7条5丁目1番15号,旭川市,永山7条5丁目1番15号,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9924,北海道,調剤薬局ツルハドラッグ旭川大町店,北海道旭川市大町2条14丁目92-26,0166468797,2,1,0,,月～金：9:00-18:00、土：9:00-13:00,有,090-2013-4470,衝立,,,,月～金：9:00-18:00、土：9:00-13:00,有,,0166468797,09020134470,北海道旭川市大町2条14丁目92-26,旭川市大町2条14丁目92-26,旭川市,大町2条14丁目92-26,True,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9925,北海道,調剤薬局ツルハドラッグ東光１０条店,北海道旭川市東光10条4丁目1番18号,0166734685,1,0,0,,月～金：9：00-13:00、14:00-18:00、土：9:00-13:00,,,衝立,要,,,月～金：9：00-13:00、14:00-18:00、土：9:00-13:00,,要,0166734685,,北海道旭川市東光10条4丁目1番18号,旭川市東光10条4丁目1番18号,旭川市,東光10条4丁目1番18号,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9926,北海道,調剤薬局ツルハドラッグ神居十字街店,北海道旭川市神居3条11丁目2-21,0166734577,1,0,0,,月～金：9:30-13:00、14:00-18:30、土：9:30-13:30,,,他者のいない時間対応,,,,月～金：9:30-13:00、14:00-18:30、土：9:30-13:30,,,0166734577,,北海道旭川市神居3条11丁目2-21,旭川市神居3条11丁目2-21,旭川市,神居3条11丁目2-21,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9927,北海道,調剤薬局ツルハドラッグ稚内新光店,北海道稚内市新光町1483番82,0162347756,0,2,0,https://shop.tsuruha-g.com/0552,月～金：9：00-19：00、土9：00-14：00,,,衝立,,,,月～金：9：00-19：00、土9：00-14：00,,,0162347756,,北海道稚内市新光町1483番82,稚内市新光町1483番82,稚内市,新光町1483番82,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9928,北海道,調剤薬局ツルハドラッグ北見東三輪店,北海道北見市東三輪3-21-1,0157579941,2,1,0,https://shop.tsuruha-g.com/3375,月～金：9:00-18:00、土：9:00-14:00,,,衝立,要,,,月～金：9:00-18:00、土：9:00-14:00,,要,0157579941,,北海道北見市東三輪3-21-1,北見市東三輪3-21-1,北見市,東三輪3-21-1,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9929,北海道,調剤薬局ツルハドラッグ１条店,北海道旭川市１条通２３丁目111番地の24,0166375225,1,1,0,https://www.tsuruha.co.jp/,月、火、木、金は8:00～18:00水が8:00～16:00,,,衝立,,,,月、火、木、金は8:00～18:00水が8:00～16:00,,,0166375225,,北海道旭川市1条通23丁目111番地の24,旭川市1条通23丁目111番地の24,旭川市,1条通23丁目111番地の24,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9930,北海道,調剤薬局ツルハドラッグ永山７条店,北海道旭川市永山７条４丁目２番４号,0166402268,0,1,0,https://shop.tsuruha-g.com/1047,月・火・木・金：9:00-18:00、水・土：9:00-13:00,,,衝立,,,,月・火・木・金：9:00-18:00、水・土：9:00-13:00,,,0166402268,,北海道旭川市永山7条4丁目2番4号,旭川市永山7条4丁目2番4号,旭川市,永山7条4丁目2番4号,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9931,北海道,調剤薬局ツルハドラッグ永山３条西店,北海道旭川市永山３条８丁目２-６,0166473268,1,0,0,,月～金：9：00-13：00、14：00-18：00、土：9：00-13：00,,,衝立,,,,月～金：9：00-13：00、14：00-18：00、土：9：00-13：00,,,0166473268,,北海道旭川市永山3条8丁目2-6,旭川市永山3条8丁目2-6,旭川市,永山3条8丁目2-6,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9933,北海道,調剤薬局ツルハドラッグ旭川神楽店,北海道旭川市神楽５条９丁目２番２７号,0166623686,0,1,0,https://shop.tsuruha-g.com/3460,月～金：9:30-13:00、14:00-18:30、土：9:30-13:30,,,衝立,,,,月～金：9:30-13:00、14:00-18:30、土：9:30-13:30,,,0166623686,,北海道旭川市神楽5条9丁目2番27号,旭川市神楽5条9丁目2番27号,旭川市,神楽5条9丁目2番27号,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
10163,北海道,調剤薬局ツルハドラッグ稚内栄店,北海道稚内市栄5丁目8番11号,0162346268,0,2,0,,月:9:00~12:00、13:00~18:00、火~木：8:30~12:30、13:30~18:00、金:8:30~13:30,,,衝立,,,,月:9:00~12:00、13:00~18:00、火~木：8:30~12:30、13:30~18:00、金:8:30~13:30,,,0162346268,,北海道稚内市栄5丁目8番11号,稚内市栄5丁目8番11号,稚内市,栄5丁目8番11号,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
10219,北海道,調剤薬局ツルハドラッグ紋別緑町店,北海道紋別市緑町5丁目6番17号,0158264268,0,2,0,https://shop.tsuruha-g.com/1596,月～金：9:00-18:00,,,衝立,要,,,月～金：9:00-18:00,,要,0158264268,,北海道紋別市緑町5丁目6番17号,紋別市緑町5丁目6番17号,紋別市,緑町5丁目6番17号,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
10226,北海道,調剤薬局ツルハドラッグ網走北店,北海道網走市北4条西4丁目1-5,0152616611,0,2,0,https://shop.tsuruha-g.com/0569,月～水・金：9：30～18：00、木：9：30～17：00、土：9：30～13：00,,,衝立,要,,,月～水・金：9：30～18：00、木：9：30～17：00、土：9：30～13：00,,要,0152616611,,北海道網走市北4条西4丁目1-5,網走市北4条西4丁目1-5,網走市,北4条西4丁目1-5,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
10227,北海道,調剤薬局ツルハドラッグ北見三輪北店,北海道北見市中央三輪２丁目313番1,0157576188,0,1,0,https://shop.tsuruha-g.com/1707,月～金：9:00-18:00、土：9:00-13:00,,,衝立,,,,月～金：9:00-18:00、土：9:00-13:00,,,0157576188,,北海道北見市中央三輪2丁目313番1,北見市中央三輪2丁目313番1,北見市,中央三輪2丁目313番1,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
10228,北海道,調剤薬局ツルハドラッグ旭川４条店,北海道旭川市４条通１５丁目７５０,0166215010,1,1,0,,月～金：9:00-18:00、土：9:00-13:00,,,衝立,要,,,月～金：9:00-18:00、土：9:00-13:00,,要,0166215010,,北海道旭川市4条通15丁目750,旭川市4条通15丁目750,旭川市,4条通15丁目750,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
10229,北海道,調剤薬局ツルハドラッグ旭川豊岡５条,北海道旭川市豊岡５条４丁目４番４３号,0166332650,0,1,0,,月～金：10：00-19：00、土：10：00-14：00,,,衝立,,,,月～金：10：00-19：00、土：10：00-14：00,,,0166332650,,北海道旭川市豊岡5条4丁目4番43号,旭川市豊岡5条4丁目4番43号,旭川市,豊岡5条4丁目4番43号,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
10230,北海道,調剤薬局クスリのツルハ東光５条店,北海道旭川市東光5条5丁目3-2,0166392069,1,1,0,https://shop.tsuruha-g.com/0162,月、火、水：9：00ー18：30、木、土：9：00ー18：30,,,衝立；他者のいない時間対応,要,,,月、火、水：9：00ー18：30、木、土：9：00ー18：30,,要,0166392069,,北海道旭川市東光5条5丁目3-2,旭川市東光5条5丁目3-2,旭川市,東光5条5丁目3-2,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
10231,北海道,調剤薬局クスリのツルハ永山３条店,北海道旭川市永山3条4丁目3-1,0166494155,0,2,0,https://shop.tsuruha-g.com/0231,月～金09：00-12：30、13：30-17：30、土：09：00～13：00,,,個室；衝立；他者のいない時間対応,,,,月～金09：00-12：30、13：30-17：30、土：09：00～13：00,,,0166494155,,北海道旭川市永山3条4丁目3-1,旭川市永山3条4丁目3-1,旭川市,永山3条4丁目3-1,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
10232,北海道,調剤薬局ツルハドラッグ旭川７条店,北海道旭川市7条通り18丁目92-9,0166735875,1,0,0,https://shop.tsuruha-g.com/1705,月～金：9:30-13:00、14:00-18:30、土：9:30-13:30,,,衝立；他者のいない時間対応,要,,,月～金：9:30-13:00、14:00-18:30、土：9:30-13:30,,要,0166735875,,北海道旭川市7条通り18丁目92-9,旭川市7条通り18丁目92-9,旭川市,7条通り18丁目92-9,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
10233,北海道,調剤薬局ツルハドラッグ旭川中央店,北海道旭川市1条通8丁目187-1,0166765426,1,1,0,,月～金：9:00-18:00、土、日：9:00-17:00,,,衝立,要,,,月～金：9:00-18:00、土、日：9:00-17:00,,要,0166765426,,北海道旭川市1条通8丁目187-1,旭川市1条通8丁目187-1,旭川市,1条通8丁目187-1,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
10234,北海道,調剤薬局ツルハドラッグ旭川末広５条店,北海道旭川市末広5条1丁目4番23号,0166767187,1,0,0,https://shop.tsuruha-g.com/1830,月～金：9:00-13:0014:00-18:00、土：9:00-13:00,,,衝立,要,,,月～金：9:00-13:0014:00-18:00、土：9:00-13:00,,要,0166767187,,北海道旭川市末広5条1丁目4番23号,旭川市末広5条1丁目4番23号,旭川市,末広5条1丁目4番23号,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
11994,北海道,サツドラ薬局南１１条店,北海道札幌市中央区南11条西10丁目２番１号,0112069803,1,2,0,https://shop.satudora.co.jp/detail/store-minami11jo/,"月〜日・祝日：10:00〜14:00,15:00〜19:00",,,衝立,要,,,"月〜日・祝日：10:00〜14:00,15:00〜19:00",,要,0112069803,,北海道札幌市中央区南11条西10丁目2番1号,札幌市中央区南11条西10丁目2番1号,札幌市中央区,南11条西10丁目2番1号,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
12007,北海道,サツドラ薬局曙店,北海道札幌市手稲区曙２条２丁目４番２１号,0116853388,2,4,0,https://shop.satudora.co.jp/detail/pharmacy-akebono/,月〜金：9:00〜18:00、土：9:00〜13:00,,,衝立,要,,,月〜金：9:00〜18:00、土：9:00〜13:00,,要,0116853388,,北海道札幌市手稲区曙2条2丁目4番21号,札幌市手稲区曙2条2丁目4番21号,札幌市手稲区,曙2条2丁目4番21号,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
12010,北海道,サツドラ薬局新川店,北海道札幌市北区新川７４３－１,0117683361,2,1,0,https://shop.satudora.co.jp/detail/pharmacy-shinkawa/,月〜金：9:00〜18:00、土：9:00〜13:00,,,衝立,要,,,月〜金：9:00〜18:00、土：9:00〜13:00,,要,0117683361,,北海道札幌市北区新川743-1,札幌市北区新川743-1,札幌市北区,新川743-1,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
