薬局等番号,都道府県,市区町村_推定,薬局等名称,住所_正規化,住所,住所_都道府県除く,住所_残り,電話番号_数字,電話番号,HP,開局等時間,時間外対応,時間外対応_有無,時間外の電話番号_数字,時間外の電話番号,プライバシー確保策,事前電話連絡,事前電話連絡_要否,販売可能薬剤師数_女性,販売可能薬剤師数_男性,販売可能薬剤師数_答えたくない,備考,削除日,データ時点,データ出典_URL,データファイル_URL,検索用
11,宮崎県,宮崎市,いこい調剤薬局,宮崎県宮崎市大塚台西1丁目1-42,宮崎県宮崎市大塚台西１丁目１ー４２,宮崎市大塚台西1丁目1-42,大塚台西1丁目1-42,0985656151,0985656151,https://151ikoi.com/,月･木･金:8:45-18:00､火:8:45-19:00､水:8:45-17:00､土:8:45-13:00,有,True,0985656151,0985656151,衝立；他者のいない時間対応,要,True,1,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,宮崎県 宮崎市 いこい調剤薬局 宮崎県宮崎市大塚台西1丁目1-42 0985656151 https://151ikoi.com/
12,福島県,福島市,あおぞら薬局MAXふくしま店,福島県福島市曾根田町1-18ＭＡＸふくしま1階,福島県福島市曾根田町１－１８ＭＡＸふくしま１階,福島市曾根田町1-18ＭＡＸふくしま1階,曾根田町1-18ＭＡＸふくしま1階,0245739341,0245739341,,月-金:10:00-19:00土:10:00-14:00,有,True,0245739341,0245739341,衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,福島県 福島市 あおぞら薬局MAXふくしま店 福島県福島市曾根田町1-18ＭＡＸふくしま1階 0245739341
13,群馬県,伊勢崎市,アイン薬局伊勢崎はしえ店,群馬県伊勢崎市波志江町1152,群馬県伊勢崎市波志江町１１５２,伊勢崎市波志江町1152,波志江町1152,0270406302,0270406302,https://www.ainj.co.jp/,月-金:9:00-18:00､土:9:00-13:00,有,True,0270406302,0270406302,衝立,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,群馬県 伊勢崎市 アイン薬局伊勢崎はしえ店 群馬県伊勢崎市波志江町1152 0270406302 https://www.ainj.co.jp/
14,福島県,郡山市,アリビオ薬局八山田店,福島県郡山市八山田5丁目77,福島県郡山市八山田５丁目７７,郡山市八山田5丁目77,八山田5丁目77,0249355505,0249355505,https://prossimo-medi.co.jp,月･火･木･金:8:30-19:00､水:8:30-17:30､土:8:30-12:00,有,True,08022133260,08022133260,衝立；他者のいない時間対応,,False,1,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,福島県 郡山市 アリビオ薬局八山田店 福島県郡山市八山田5丁目77 0249355505 https://prossimo-medi.co.jp
15,福島県,郡山市,奥羽調剤薬局鳴神店,福島県郡山市鳴神1-1-2,福島県郡山市鳴神１ー１ー２,郡山市鳴神1-1-2,鳴神1-1-2,0249838535,0249838535,https://www.ouuchouzai.com/,月･火･木･金:8:30-18:00､水:8:30-17:30､土:8:30-12:30,,False,,,他者のいない時間対応,,False,2,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,福島県 郡山市 奥羽調剤薬局鳴神店 福島県郡山市鳴神1-1-2 0249838535 https://www.ouuchouzai.com/
16,新潟県,新潟市東区,牡丹山薬局,新潟県新潟市東区牡丹山1-5-12-9,新潟県新潟市東区牡丹山１－５－１２－９,新潟市東区牡丹山1-5-12-9,牡丹山1-5-12-9,0252566377,0252566377,,月-水･金:9:00-18:00､､木曜日:9:00-17:00､土:9:00-13:00,有,True,0252566377,0252566377,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,新潟県 新潟市東区 牡丹山薬局 新潟県新潟市東区牡丹山1-5-12-9 0252566377
17,新潟県,五泉市,すまいる薬局,新潟県五泉市太田976-1,新潟県五泉市太田９７６－１,五泉市太田976-1,太田976-1,0250473800,0250473800,,月火木金:9:00-18:30水:9:00-17:00土:9:00-13:00,有,True,0250473800,0250473800,個室,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,新潟県 五泉市 すまいる薬局 新潟県五泉市太田976-1 0250473800
18,沖縄県,宜野湾市,ドラッグイレブン薬局琉球大学病院店,沖縄県宜野湾市喜友名1076番地,沖縄県宜野湾市喜友名１０７６番地,宜野湾市喜友名1076番地,喜友名1076番地,0988930411,0988930411,https://shop.tsuruha-g.com/4886,月-金:8:00-19:00､土:9:00-15:00,,False,,,個室,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,沖縄県 宜野湾市 ドラッグイレブン薬局琉球大学病院店 沖縄県宜野湾市喜友名1076番地 0988930411 https://shop.tsuruha-g.com/4886
19,秋田県,湯沢市,調剤薬局ツルハドラッグ湯沢大町店,秋田県湯沢市大町2丁目1-10,秋田県湯沢市大町２丁目１－１０,湯沢市大町2丁目1-10,大町2丁目1-10,0183795056,0183795056,https://shop.tsuruha-g.com/1225,月-金:9:00-13:30､14:30-18:00,,False,,,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,秋田県 湯沢市 調剤薬局ツルハドラッグ湯沢大町店 秋田県湯沢市大町2丁目1-10 0183795056 https://shop.tsuruha-g.com/1225
20,宮城県,角田市,調剤薬局ツルハドラッグ角田中央店,宮城県角田市角田字町222-2,宮城県角田市角田字町２２２－２,角田市角田字町222-2,角田字町222-2,0224630277,0224630277,,月-金:9:30-18:30､土:9:30-13:30,,False,,,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,宮城県 角田市 調剤薬局ツルハドラッグ角田中央店 宮城県角田市角田字町222-2 0224630277
21,福島県,いわき市,そうごう薬局上荒川店,福島県いわき市平上荒川字安草15-4,福島県いわき市平上荒川字安草１５－４,いわき市平上荒川字安草15-4,平上荒川字安草15-4,0246287222,0246287222,,月曜-金曜日曜9:00-18:00土曜日9:00-16:00,有,True,0246287222,0246287222,個室,要,True,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,福島県 いわき市 そうごう薬局上荒川店 福島県いわき市平上荒川字安草15-4 0246287222
22,大阪府,阪南市,調剤薬局ツルハドラッグ阪南店,大阪府阪南市自然田928-3,大阪府阪南市自然田９２８ー３,阪南市自然田928-3,自然田928-3,0724727867,0724727867,https://shop.tsuruha-g.com/1135,月-金:9:00-18:00､土:9:00-13:00,,False,,,衝立,要,True,2,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,大阪府 阪南市 調剤薬局ツルハドラッグ阪南店 大阪府阪南市自然田928-3 0724727867 https://shop.tsuruha-g.com/1135
23,兵庫県,尼崎市,調剤薬局ﾂﾙﾊﾄﾞﾗｯｸﾞ尼崎武庫元町店,兵庫県尼崎市武庫元町1丁目21番11号,兵庫県尼崎市武庫元町１丁目２１番１１号,尼崎市武庫元町1丁目21番11号,武庫元町1丁目21番11号,0664383321,0664383321,,月-金:9:00-19:00､土:9:00-14:00,,False,,,衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,兵庫県 尼崎市 調剤薬局ﾂﾙﾊﾄﾞﾗｯｸﾞ尼崎武庫元町店 兵庫県尼崎市武庫元町1丁目21番11号 0664383321
24,兵庫県,西宮市,調剤薬局ツルハドラッグ甲子園店,兵庫県西宮市甲子園浦風町6-1,兵庫県西宮市甲子園浦風町６ー１,西宮市甲子園浦風町6-1,甲子園浦風町6-1,0798440288,0798440288,,月-金:9:00-19:30､土:9:00-17:00,,False,,,衝立,,False,3,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,兵庫県 西宮市 調剤薬局ツルハドラッグ甲子園店 兵庫県西宮市甲子園浦風町6-1 0798440288
25,新潟県,新潟市秋葉区,エース調剤薬局,新潟県新潟市秋葉区あおば通1-7-12,新潟県新潟市秋葉区あおば通１－７－１２,新潟市秋葉区あおば通1-7-12,あおば通1-7-12,0250237009,0250237009,https://www.ace-pharmacy.com/,月火水金:8:30-19:00､木8:30-16:30､土8:30-13:00,,False,,,個室,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,新潟県 新潟市秋葉区 エース調剤薬局 新潟県新潟市秋葉区あおば通1-7-12 0250237009 https://www.ace-pharmacy.com/
26,福島県,郡山市,調剤薬局ツルハドラッグ郡山島店,福島県郡山市島2丁目44-29,福島県郡山市島２丁目４４－２９,郡山市島2丁目44-29,島2丁目44-29,0249546689,0249546689,,月-金:9:30-13:30､14:30-18:30､土:9:30-13:30,,False,,,衝立,要,True,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,福島県 郡山市 調剤薬局ツルハドラッグ郡山島店 福島県郡山市島2丁目44-29 0249546689
27,石川県,七尾市,パトリア中山薬局,石川県七尾市御祓町1パトリア1階,石川県七尾市御祓町１パトリア１階,七尾市御祓町1パトリア1階,御祓町1パトリア1階,0767540739,0767540739,,月-土9:00-18:00,有,True,07056305521,07056305521,衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,石川県 七尾市 パトリア中山薬局 石川県七尾市御祓町1パトリア1階 0767540739
28,福島県,伊達郡国見町,アイン薬局国見店,福島県伊達郡国見町塚野目字三本木14-1,福島県伊達郡国見町塚野目字三本木１４－１,伊達郡国見町塚野目字三本木14-1,塚野目字三本木14-1,0245291165,0245291165,,月-金:9:00-18:00､土:9:00-13:00,,False,,,個室,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,福島県 伊達郡国見町 アイン薬局国見店 福島県伊達郡国見町塚野目字三本木14-1 0245291165
29,新潟県,新潟市中央区,よつば薬局上大川前店,新潟県新潟市中央区上大川前通5番町63-1,新潟県新潟市中央区上大川前通５番町６３－１,新潟市中央区上大川前通5番町63-1,上大川前通5番町63-1,0252264880,0252264880,https://www.yotsuba-p.com/,月-金:9:00-18:10､土:9:00-13:00,有,True,0252264880,0252264880,他者のいない時間対応,要,True,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,新潟県 新潟市中央区 よつば薬局上大川前店 新潟県新潟市中央区上大川前通5番町63-1 0252264880 https://www.yotsuba-p.com/
30,新潟県,糸魚川市,青海薬局,新潟県糸魚川市大字寺地233,新潟県糸魚川市大字寺地２３３,糸魚川市大字寺地233,大字寺地233,0255621621,0255621621,,月･火･水･金･土:9:00-17:45､木:9:00-17:00,有,True,0255621621,0255621621,衝立；他者のいない時間対応,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,新潟県 糸魚川市 青海薬局 新潟県糸魚川市大字寺地233 0255621621
31,広島県,広島市安佐南区,蔵本薬局,広島県広島市安佐南区西原8丁目28-7,広島県広島市安佐南区西原８丁目２８ー７,広島市安佐南区西原8丁目28-7,西原8丁目28-7,0829621003,0829621003,https://www.e-classa.net/kuramoto,月-金:9:00-17:30､土9:00-13:00,有,True,0829621003,0829621003,衝立,要,True,3,2,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,広島県 広島市安佐南区 蔵本薬局 広島県広島市安佐南区西原8丁目28-7 0829621003 https://www.e-classa.net/kuramoto
32,高知県,高知市,調剤薬局ツルハドラッグ薊野店,高知県高知市薊野西町3-8-8,高知県高知市薊野西町３ー８ー８,高知市薊野西町3-8-8,薊野西町3-8-8,0888553228,0888553228,,月-金:9:30-18:30､土:9:30-14:30,,False,,,衝立,,False,1,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,高知県 高知市 調剤薬局ツルハドラッグ薊野店 高知県高知市薊野西町3-8-8 0888553228
33,福島県,いわき市,クラフト薬局小名浜店,福島県いわき市小名浜林城字塚前21-3,福島県いわき市小名浜林城字塚前２１－３,いわき市小名浜林城字塚前21-3,小名浜林城字塚前21-3,0246589111,0246589111,,月-金:9:00-17:30,有,True,0246589111,0246589111,衝立；他者のいない時間対応,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,福島県 いわき市 クラフト薬局小名浜店 福島県いわき市小名浜林城字塚前21-3 0246589111
34,新潟県,新発田市,ようめい調剤薬局,新潟県新発田市新富町1-1-28,新潟県新発田市新富町１－１－２８,新発田市新富町1-1-28,新富町1-1-28,0254203770,0254203770,,月･火･木･金:8:30-17:30､8:30-13:00,,False,,,衝立；他者のいない時間対応,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,新潟県 新発田市 ようめい調剤薬局 新潟県新発田市新富町1-1-28 0254203770
35,福島県,本宮市,郡山調剤薬局本宮店,福島県本宮市本宮字荒町49-9,福島県本宮市本宮字荒町４９－９,本宮市本宮字荒町49-9,本宮字荒町49-9,0243631155,0243631155,,月･火･木･金:8:30-18:00､水:8:30-16:30､土:8:30-13:00,有,True,0243631155,0243631155,衝立；他者のいない時間対応,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,福島県 本宮市 郡山調剤薬局本宮店 福島県本宮市本宮字荒町49-9 0243631155
36,石川県,金沢市,プラス薬局,石川県金沢市木越町チ80-6,石川県金沢市木越町チ８０ー６,金沢市木越町チ80-6,木越町チ80-6,0762394193,0762394193,https://place-pharmacy.jp/,月-金:9:00-19:00､木:9:00-18:00､土:9:00-17:00,,False,,,衝立,要,True,2,3,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,石川県 金沢市 プラス薬局 石川県金沢市木越町チ80-6 0762394193 https://place-pharmacy.jp/
37,福島県,いわき市,調剤薬局ツルハドラッグいわき玉露店,福島県いわき市泉玉露5丁目7-6,福島県いわき市泉玉露５丁目７ー６,いわき市泉玉露5丁目7-6,泉玉露5丁目7-6,0246751268,0246751268,https://shop.tsuruha-g.com/1198,月-金:9:00-19:00､土:9:00-13:00,有,True,08060678069,08060678069,衝立,要,True,2,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,福島県 いわき市 調剤薬局ツルハドラッグいわき玉露店 福島県いわき市泉玉露5丁目7-6 0246751268 https://shop.tsuruha-g.com/1198
38,新潟県,新潟市北区,ときわぎ薬局,新潟県新潟市北区石動2-2-5,新潟県新潟市北区石動２－２－５,新潟市北区石動2-2-5,石動2-2-5,0253841584,0253841584,https://sites.google.com/view/tokiwagi,月-金9:00‐18:00､土9:00‐12:00,有,True,09087437198,09087437198,個室；衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,新潟県 新潟市北区 ときわぎ薬局 新潟県新潟市北区石動2-2-5 0253841584 https://sites.google.com/view/tokiwagi
39,宮城県,仙台市宮城野区,調剤薬局ツルハドラッグ仙台鶴ヶ谷店,宮城県仙台市宮城野区鶴ヶ谷二丁目8-12,宮城県仙台市宮城野区鶴ヶ谷二丁目８－１２,仙台市宮城野区鶴ヶ谷二丁目8-12,鶴ヶ谷二丁目8-12,0223884268,0223884268,,月-金:9:30-18:30､土:9:30-13:30,,False,,,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,宮城県 仙台市宮城野区 調剤薬局ツルハドラッグ仙台鶴ヶ谷店 宮城県仙台市宮城野区鶴ヶ谷二丁目8-12 0223884268
40,宮城県,仙台市宮城野区,調剤薬局ツルハドラッグ仙台宮千代店,宮城県仙台市宮城野区宮千代3丁目6-6,宮城県仙台市宮城野区宮千代３丁目６－６,仙台市宮城野区宮千代3丁目6-6,宮千代3丁目6-6,0227947086,0227947086,https://shop.tsuruha-g.com/0730,月-金:9:30-13:3014:30-18:30､土:9:30-13:30,,False,,,衝立,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,宮城県 仙台市宮城野区 調剤薬局ツルハドラッグ仙台宮千代店 宮城県仙台市宮城野区宮千代3丁目6-6 0227947086 https://shop.tsuruha-g.com/0730
41,福島県,喜多方市,喜多方あいあい薬局,福島県喜多方市字三丁目4781-2,福島県喜多方市字三丁目４７８１－２,喜多方市字三丁目4781-2,字三丁目4781-2,0241235786,0241235786,https://mp-coltd.com/,月水木金;8:30-17:30､火土;8:30-13:00,,False,,,他者のいない時間対応,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,福島県 喜多方市 喜多方あいあい薬局 福島県喜多方市字三丁目4781-2 0241235786 https://mp-coltd.com/
42,福島県,郡山市,調剤薬局ツルハドラッグ八山田店,福島県郡山市富田東三丁目22番地,福島県郡山市富田東三丁目２２番地,郡山市富田東三丁目22番地,富田東三丁目22番地,0249918826,0249918826,,月-土:9:00-18:00,,False,,,衝立,,False,3,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,福島県 郡山市 調剤薬局ツルハドラッグ八山田店 福島県郡山市富田東三丁目22番地 0249918826
43,山梨県,南アルプス市,アヤメ薬局,山梨県南アルプス市小笠原445-1,山梨県南アルプス市小笠原４４５‐１,南アルプス市小笠原445-1,小笠原445-1,0552835848,0552835848,,火･水･金･土:8:30‐18:00､木･日8:30‐12:30,,False,,,衝立；他者のいない時間対応,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,山梨県 南アルプス市 アヤメ薬局 山梨県南アルプス市小笠原445-1 0552835848
44,新潟県,加茂市,千刈薬局,新潟県加茂市千刈1丁目50-21,新潟県加茂市千刈１丁目５０－２１,加茂市千刈1丁目50-21,千刈1丁目50-21,0256533321,0256533321,https://www.pharmarise.com/company/store/store.php?store_id=555,月-水･金:9:00-18:00木:9:00-17:00土:9:00-13:00,有,True,0256533321,0256533321,衝立,,False,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,新潟県 加茂市 千刈薬局 新潟県加茂市千刈1丁目50-21 0256533321 https://www.pharmarise.com/company/store/store.php?store_id=555
45,福島県,郡山市,あさかのもり薬局,福島県郡山市安積町成田字漆山50,福島県郡山市安積町成田字漆山５０,郡山市安積町成田字漆山50,安積町成田字漆山50,0249464976,0249464976,https://www.yamayaku.com/,月-土:9:00-18:00,,False,,,他者のいない時間対応,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,福島県 郡山市 あさかのもり薬局 福島県郡山市安積町成田字漆山50 0249464976 https://www.yamayaku.com/
